row_type,dataset_type,meeting_id,candidate_model,deepeval_holistic_accuracy,deepeval_holistic_coverage,system_accuracy,system_completeness,system_coverage,holistic_accuracy_delta_vs_system,holistic_coverage_delta_vs_system,accuracy_reason,coverage_reason,candidate_path,gt_path,report_path,note
meeting_model,whitehouse_press_briefings,whpb_20240103_press_2,gpt-5-mini,0.956,0.927,0.307,0.835,0.839,+0.649,+0.088,"The actual summary comprehensively covers all key points from the expected summary, including government shutdown warnings, Middle East force posture, Red Sea operations, hostage negotiations, Ukraine conflict and funding needs, domestic issues addressed by Jean-Pierre, and responses to reporters' questions. It maintains coherence and logical flow, accurately reflecting the transcript's structure without fabrications or contradictions. The level of certainty expressed aligns with the source, appropriately hedging where necessary (e.g., no specific progress on hostages).","The Actual Output comprehensively covers all major actions, key decisions, and important dates from the Expected Output, including the 16-day shutdown warning, Middle East force posture details, Operation Prosperity Guardian with over 20 nations, and the stance on Israel's involvement in Iran bombings. It accurately reflects quantities such as the 13 signatories and the $34 trillion debt figure. The response also includes detailed coverage of domestic issues like border negotiations, Mayorkas impeachment, rail safety, and Senator Menendez's legal matters. Minor omissions include less explicit mention of some diplomatic conversations and the exact number of coalition signatories (13 vs. 44), but these do not significantly detract from the overall alignment.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240103_press_2/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240103_press_2/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240103_press_2/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240103_press_d,gpt-5-mini,0.927,0.962,0.419,0.849,0.952,+0.508,+0.010,"The actual summary is highly faithful to the expected summary, accurately capturing all key points such as the number and nature of Houthi attacks, the diplomatic and military responses including Operation Prosperity Guardian, the December 30–31 incidents, and the 13-country warning statement. It correctly reflects the official's cautious stance on rules of engagement and private warnings, and the attribution of Iranian support to the Houthis. The summary also includes the U.S. military posture and regional escalation risks consistent with the expected output. Minor deductions arise from slight differences in phrasing and some additional detail not explicitly present in the expected summary, but these do not contradict or overstate the transcript content.","The Actual Output comprehensively includes all major actions from the Expected Output, such as the detailed account of 23 Houthi attacks since November 19, the formation of Operation Prosperity Guardian on December 18, the 44-country statement on December 19, and the 13-country warning at the President’s direction. Key dates like December 18, 19, 30, and 31 are accurately reflected. The response clearly states the defensive military actions taken, including the USS Gravely shooting down missiles and sinking fast boats with no U.S. casualties, matching the Expected Output’s key decisions. Quantities such as the number of attacks, countries involved, and boats sunk are correctly stated. The response also covers diplomatic efforts, Iran’s role, regional escalation risks, and U.S. military posture, fully aligning with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240103_press_d/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240103_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240103_press_d/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240104_press,gpt-41-mini,0.905,0.902,0.422,0.860,0.613,+0.483,+0.289,"The actual summary comprehensively covers all key points from the expected summary, including the Iowa school shooting response, Russia's missile procurement from North Korea and Iran, sanctions, Israel-Hamas conflict, ISIS-K threat, U.S. military actions, humanitarian efforts, congressional support for Ukraine aid, and domestic political dynamics. It is coherent, logically structured, and reflects the flow of the original transcript. Minor deductions are due to some additional detail and phrasing that slightly extend beyond the expected summary but do not contradict or fabricate information. The level of certainty expressed aligns well with the expected content.","The Actual Output comprehensively covers all major topics and key decisions outlined in the Expected Output, including detailed references to the Iowa school shooting, Russia's missile activities with North Korea and Iran, sanctions, Israel-Hamas conflict, ISIS-K threat, congressional relations, and President Biden's engagements. Important dates such as December 30, 2023, and January 2, 2024, are accurately included. Quantities and specifics, like missile ranges and application numbers, are correctly stated. Minor omissions include less explicit mention of some nuanced points like the lack of formal U.S. assessment on Israel's compliance and some specific political details, but overall alignment is strong.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240104_press/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240104_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240104_press/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240103_press_d,gpt-51,0.998,0.985,0.389,0.881,1.000,+0.609,-0.015,"The actual summary comprehensively covers all key points from the expected summary, including the detailed account of Houthi attacks, U.S. military responses, diplomatic efforts, coalition dynamics, Iran's role, and regional security concerns. It maintains coherence and logical structure, reflecting the flow of the original transcript without contradictions or unsupported fabrications. The level of certainty expressed aligns with the expected cautious and qualified assessments, such as the preliminary view on the Tehran bombing and the refusal to disclose specific rules of engagement.","The Actual Output comprehensively includes all major actions from the Expected Output, such as detailed accounts of Houthi attacks since November 19, the December 30-31 Maersk Hangzhou incidents, the 13-nation warning directed by President Biden, and the coalition's diplomatic and military responses. Important dates like November 19, December 1, December 18, December 30-31, and New Year's Day are accurately reflected. Key decisions, including the refusal to disclose rules of engagement, the defensive posture of U.S. forces, and the coalition-building strategy, are clearly stated. Quantities such as 23 attacks, 13 countries in the warning, and over 40 affected nations are correctly presented without omission. The response also addresses all relevant topics including Iran's role, regional escalation risks, and the distinction from the Yemeni civil war, fully aligning with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240103_press_d/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240103_press_d/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240103_press_d/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240104_press,gpt-5-mini,0.906,0.938,0.219,0.859,0.839,+0.687,+0.099,"The actual summary comprehensively covers all key points from the expected summary, including detailed coverage of the DPRK missile transfers, U.S. responses, Middle East developments, domestic issues, and specific statements by Jean-Pierre and Kirby. It is coherent, logically structured, and reflects the flow of the original transcript. There are no fabricated details, and the level of certainty expressed aligns with the expected cautious and qualified tone, especially regarding intelligence sourcing and ongoing investigations. Minor omissions or slight differences in emphasis do not detract significantly from the overall accuracy and completeness.","The Actual Output comprehensively covers all major topics and key decisions outlined in the Expected Output, including detailed coverage of the DPRK missile transfers, U.S. responses, dates of missile launches, and domestic issues such as the Iowa school shooting and gun legislation. Important dates like December 30 and January 2 are accurately reflected, and quantities such as missile ranges and EV sales increases are included. The response also addresses nuanced intelligence sourcing and diplomatic efforts. Minor omissions include less explicit mention of some specific political framing and a few less central topics from the Expected Output, but overall alignment is strong and detailed.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240104_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240104_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240104_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240108_press,gpt-41-mini,0.900,0.899,0.475,0.851,0.724,+0.425,+0.175,"The actual summary is highly faithful to the expected summary, covering all key topics such as humanitarian aid to Gaza, Secretary Austin's hospitalization and transparency issues, risk of wider Middle East conflict, government funding, and the President's stance on January 6th. It accurately reflects the administration's commitments and statements without contradictions. Minor overstatements include the phrase 'expressed confidence in his leadership' which is slightly stronger than the expected cautious tone, but overall certainty is well justified. No unsupported additions or contradictions are present.","The Actual Output comprehensively covers all major topics from the Expected Output, including Secretary Austin's health and hospitalization, humanitarian aid to Gaza with the specific quantity of 210 trucks, the risk of wider Middle East conflict, White House communication protocols, government funding efforts, and the President's response to January 6th. Key decisions such as the administration's commitment to transparency, no plans to remove Secretary Austin, and urging congressional Republicans to avoid a shutdown are clearly stated. The only minor shortcoming is the absence of explicit mention of President Biden's travel to Dallas and paying respects to Congresswoman Eddie Bernice Johnson, which is noted in the Expected Output but not in the Actual Output.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240108_press/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240108_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240108_press/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240108_press,gpt-5-mini,0.901,0.900,0.729,0.844,0.810,+0.172,+0.090,"The actual summary comprehensively covers all key points from the expected summary, including President Biden's travel, Gaza humanitarian aid, Secretary Austin's hospitalization and transparency issues, bipartisan funding framework, border talks, January 6 reactions, and the Charleston speech themes. It is coherent, logically structured, and reflects the flow of the original transcript. The summary avoids unsupported or fabricated details and maintains an appropriate level of certainty consistent with the expected content. Minor omissions, such as less explicit emphasis on the White House's commitment to transparency regarding President Biden's medical procedures, prevent a perfect score.","The Actual Output comprehensively covers all major actions from the Expected Output, including President Biden's travel, humanitarian aid to Gaza, Secretary Austin's health and hospitalization details, bipartisan funding framework, border negotiations, and January 6 commentary. Key dates such as the January 1 secure call and the timing of Austin's hospitalization notification are accurately reflected. The Actual Output clearly states key decisions like Austin's resumed duties, the administration's review of procedures, and the call for congressional action on funding. Quantities such as the 210 trucks entering Gaza are correctly included. Minor omissions include less explicit emphasis on the White House's commitment to transparency regarding President Biden's medical procedures and some nuanced framing of the bipartisan budget agreement, but these do not significantly detract from alignment.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240108_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240108_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240108_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240104_press,gpt-51,0.996,1.000,0.518,0.889,0.935,+0.478,+0.065,"The actual summary comprehensively covers all key points from the expected summary without contradictions, maintaining coherence and logical flow that mirrors the original transcript. It accurately represents details such as the Iowa school shooting response, Russia's missile procurement from North Korea and Iran, U.S. sanctions and diplomatic actions, Israel-Gaza conflict assessments, domestic political issues including Senator Menendez and border security, economic and policy updates, and nuanced expressions of certainty aligned with the source. No unsupported or fabricated information is present, and the level of certainty is appropriate and justified throughout.","The Actual Output comprehensively includes all major actions from the Expected Output, accurately reflecting key dates such as December 30, 2023, and January 2, 2024, in the missile launches. It clearly states key decisions, including calls for congressional action on gun safety, supplemental funding for Ukraine, and sanctions on Russia. Quantities like 'several dozen ballistic missiles' and '900-kilometer range' are correctly reported. The detailed summary aligns closely with the ground truth topics, covering all critical points without significant omissions.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240104_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240104_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240104_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240108_press,gpt-51,0.900,0.900,0.615,0.863,0.897,+0.285,+0.003,"The actual summary is highly faithful to the expected summary, covering all key topics such as humanitarian aid in Gaza, Secretary Austin's hospitalization and transparency issues, government funding negotiations, border security talks, and January 6th commentary. It accurately reflects the tone and certainty expressed in the transcript and expected summary, including appropriate caveats and deferrals on medical details and political commentary. Minor deductions stem from the actual summary's more detailed elaboration and some additional context not explicitly present in the expected summary, but these do not contradict or misrepresent the original content.","The Actual Output comprehensively covers all major actions and topics from the Expected Output, including Secretary Austin's health and hospitalization details, humanitarian aid to Gaza, risk of wider conflict in Lebanon, government funding negotiations, border security talks, Elon Musk reporting, and January 6th commentary. Key dates such as January 1st secure call and the timing of Austin's hospitalization notification are accurately reflected. Quantities like the 210 aid trucks are correctly stated. The only minor shortcoming is the absence of explicit mention of President Biden traveling to South Carolina and Dallas or paying respects to Congresswoman Eddie Bernice Johnson, which is noted in the Expected Output but not in the Actual Output.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240108_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240108_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240108_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240109_press,gpt-41-mini,0.962,0.927,0.446,0.825,0.742,+0.516,+0.185,"The actual summary comprehensively covers all key points from the expected summary, including severe weather warnings, President Biden's visit, Russia-North Korea arms transfers, Secretary Austin's health disclosure and delegation protocols, national security operations, Middle East and Taiwan issues, media access, aviation safety, border security, economic outlook, and political event distinctions. It is coherent, logically structured, and reflects the flow of the original transcript without contradictions or unsupported details. The level of certainty expressed aligns with the expected content, appropriately noting uncertainties where present.","The Actual Output comprehensively covers all major topics and key decisions outlined in the Expected Output, including severe weather warnings, President Biden's visit, Russia-North Korea arms transfers, Secretary Austin's health disclosure and delegation protocols, national security operations, and the administration's stance on Israel-Hamas and China-Taiwan issues. Important dates such as January 12 for the President's visit and delegation protocol reviews are accurately reflected. Quantities like the 47 countries condemning Russia and economic indicators are included. Minor omissions include less explicit mention of some nuanced details from the Expected Output, such as the exact timeline of President Biden's notification and some specific spokesperson statements, but these do not significantly detract from the overall alignment.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240109_press/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240109_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240109_press/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240109_press,gpt-51,0.990,0.968,0.457,0.877,0.952,+0.533,+0.016,"The actual summary is comprehensive, faithful, and fully aligned with the expected summary, covering all key points such as severe weather, Biden's Allentown trip, Russia's use of North Korean missiles, the timeline and communication around Secretary Austin's hospitalization and cancer diagnosis, the White House memo on delegation protocols, accountability and trust issues, U.S. foreign policy stances, and domestic political matters. It avoids unsupported additions, maintains appropriate certainty consistent with the transcript and expected summary, and accurately reflects the tone and content of the briefing.","The Actual Output comprehensively covers all major actions, key decisions, and topics outlined in the Expected Output, including detailed dates such as January 4 and January 12, and accurately reflects quantities like the 47-nation condemnation. It clearly states the timeline of President Biden's knowledge of Secretary Austin's hospitalization and cancer diagnosis, the issuance of the Chief of Staff's memo on delegation protocols, and the administration's stance on accountability and transparency. The response also includes all relevant thematic areas such as foreign policy, domestic emergencies, economic outlook, and legal questions, matching the Expected Output's scope and detail without significant omissions.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240109_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240109_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240109_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240109_press,gpt-5-mini,0.932,0.912,0.329,0.822,0.855,+0.603,+0.057,"The actual summary comprehensively covers all key points from the expected summary, including severe weather, Biden's Allentown trip, Russia-North Korea missile use, Austin's hospitalization and notification issues, delegation protocols, Pentagon review, Middle East policy, China-Taiwan activity, human rights concerns, FAA grounding, border negotiations, economic messaging, and legal questions. It is coherent, logically structured, and avoids unsupported additions or contradictions. The level of certainty aligns well with the expected cautious tone, especially regarding ongoing investigations and reviews. Minor omissions of some nuanced details or exact phrasing prevent a perfect score.","The Actual Output comprehensively covers all major actions, key decisions, and significant quantities outlined in the Expected Output, including detailed coverage of Defense Secretary Austin's diagnosis timeline, delegation of authority protocols, international condemnation of Russia's use of North Korean missiles, and the President's Allentown visit. Important dates such as January 12 for protocol submissions and early December for Austin's diagnosis are accurately reflected. Minor differences in phrasing and some less explicit mention of certain diplomatic nuances slightly reduce perfect alignment, but overall the response is thorough and well-aligned with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240109_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240109_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240109_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240110_press,gpt-41-mini,0.902,0.899,0.281,0.845,0.742,+0.621,+0.157,"The actual summary comprehensively covers all key points from the expected summary, including DOJ policing accountability, Houthi attacks, U.S.-Israel relations, Secretary Austin's health, Latin America security, Israel-Gaza conflict, U.S.-China talks, domestic issues, election security, Social Security funding, staffing changes, and Hunter Biden's congressional hearing. It is coherent, logically structured, and reflects the flow of the original transcript without contradictions or unsupported details. The level of certainty expressed aligns well with the expected summary, with appropriate caution on speculative matters such as military responses. Minor omissions of some nuanced details or slight differences in emphasis prevent a perfect score.","The Actual Output comprehensively covers all major actions and topics outlined in the Expected Output, including DOJ accountability efforts, Houthi attacks and U.S. responses, Secretary Austin's health, U.S.-Israel relations, and Hunter Biden's congressional hearing. Key dates such as the anniversary of Tyre Nichols's murder are accurately reflected. Quantities like the 20 million ACA enrollees and the 10 percent Social Security funding increase are correctly stated. Minor omissions include less explicit mention of some diplomatic nuances and specific references to certain reports or questions, but overall the response aligns strongly with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240110_press/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240110_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240110_press/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240110_press,gpt-5-mini,0.912,0.982,0.261,0.836,0.839,+0.651,+0.143,"The actual summary is highly faithful to the expected content, covering all major topics such as ACA enrollment, Houthi attacks, Operation Prosperity Guardian, Secretary Austin's hospitalization, and U.S.-Israel relations with detailed accuracy. It is coherent and logically structured, reflecting the main points without contradictions. Minor deductions stem from some added detail and phrasing that slightly extend beyond the expected summaries, such as more granular operational descriptions and specific figures, but these do not undermine overall faithfulness or introduce fabrications.","The Actual Output comprehensively covers all major actions and topics outlined in the Expected Output, including detailed coverage of the ACA enrollment milestone, DOJ guidance on policing reform, the Red Sea Houthi attacks, Operation Prosperity Guardian, sanctions, and diplomatic efforts. Key dates such as the one-year anniversary of Tyre Nichols and the January 12th memo deadline are accurately reflected. Important decisions and statements, including Admiral Kirby's warnings to the Houthis, the administration's stance on Secretary Austin's hospitalization, and responses to questions on U.S.-Israel relations, North Korea-Russia ties, and Hunter Biden's congressional appearance, are clearly stated. Quantities like the 20 million ACA enrollments and the 10 percent Social Security funding increase are correctly included. The response aligns strongly with the evaluation criteria, showing no significant omissions or inaccuracies.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240110_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240110_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240110_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240111_press,gpt-41-mini,0.922,0.912,0.305,0.829,0.774,+0.617,+0.138,"The actual summary comprehensively covers all key points from the expected summary, including detailed economic updates from Lael Brainard, national security remarks by Admiral Kirby, and press secretary Jean-Pierre's responses. It is coherent, logically structured, and reflects the flow of the original transcript. There are no contradictions or fabricated details, and the level of certainty expressed aligns well with the expected content. Minor deductions are due to slight verbosity and some details that could be more concise, but overall it strongly aligns with the evaluation criteria.","The Actual Output comprehensively covers all major actions and topics outlined in the Expected Output, including detailed discussions by Lael Brainard on economic recovery, inflation, housing, tax credits, and banking, as well as Admiral Kirby's statements on maritime security, Israel, Gaza, and weapons accountability. Important dates and quantitative data such as unemployment rates, business applications, and inflation reductions are accurately reflected. Key decisions and stances, including support for Israel's self-defense, congressional oversight, and government funding negotiations, are clearly presented. Minor omissions include less explicit mention of some specific topics like the exact number of weapons unaccounted for in Ukraine and some nuanced diplomatic details, but these do not significantly detract from the overall alignment.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240111_press/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240111_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240111_press/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240110_press,gpt-51,0.992,0.999,0.250,0.871,0.952,+0.742,+0.047,"The actual summary comprehensively covers all key points from the expected summary without contradictions, including detailed coverage of domestic and foreign policy issues, specific statements by Jean-Pierre and Kirby, and nuanced handling of sensitive topics like Secretary Austin's hospitalization and Hunter Biden's hearing. It is coherent, logically structured, and reflects the flow of the original transcript. No unsupported or fabricated details are present, and the level of certainty expressed aligns with the source content.","The Actual Output comprehensively covers all major actions, key decisions, and important dates outlined in the Expected Output, including detailed descriptions of DOJ policing reforms, Houthi attacks and U.S. responses, Biden-Netanyahu relations, Secretary Austin's hospitalization timeline, and domestic political issues such as Hunter Biden's hearing and border negotiations. Quantities like the 20 million ACA enrollees and specific dates such as the 18-day gap in Biden-Netanyahu calls are accurately reflected. The response also includes nuanced details on sanctions, international coalitions, and administration stances on various foreign and domestic policy matters, fully aligning with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240110_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240110_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240110_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240111_press,gpt-5-mini,0.938,0.978,0.415,0.838,0.806,+0.523,+0.172,"The actual summary is highly faithful to the original meeting content and aligns closely with the expected summary, covering all key points such as economic updates, inflation data, security issues, and political topics without contradictions. It avoids unsupported additions and maintains appropriate certainty levels consistent with the transcript and expected output. Minor deductions reflect the summary's extensive detail, which, while accurate, slightly exceeds the conciseness of the expected summary.","The Actual Output comprehensively includes all major actions, key decisions, and quantities detailed in the Expected Output, accurately reflecting important dates and figures such as the Allentown visit timing, job and business application statistics, inflation data, healthcare cost caps, and detailed security and political statements. It thoroughly covers all topics from economic updates to national security and domestic politics, matching the Expected Output's scope and detail without omission.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240111_press/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240111_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240111_press/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,whitehouse_press_briefings,whpb_20240111_press,gpt-51,0.995,1.000,0.345,0.868,0.935,+0.650,+0.065,"The actual summary is highly faithful to the expected content, covering all key points without contradiction. It includes detailed, supported information on economic, security, and political topics as outlined in the expected summary. There are no fabricated additions, and the tone of certainty matches the original briefing's cautious but confident stance. The response thoroughly aligns with the evaluation steps.","The Actual Output comprehensively covers all major actions, key decisions, and quantities detailed in the Expected Output, including specific data on job creation, inflation trends, policy initiatives, security updates, and diplomatic stances. Important dates and figures such as the 32,000 jobs in Allentown, 16 million business applications nationally, and the 200 trucks of aid in Gaza are accurately reflected. The response clearly presents the positions of Brainard, Kirby, and Jean-Pierre on all outlined topics, demonstrating strong alignment with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/whpb_20240111_press/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/whpb_20240111_press/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/whpb_20240111_press/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
